date,entries
2/10/2020,1900
3/9/2020,1743
3/10/2020,1607
3/11/2020,1573
3/12/2020,1259
3/13/2020,704
3/16/2020,430
3/17/2020,248
3/18/2020,170
3/19/2020,165
3/20/2020,156
3/23/2020,36
3/24/2020,49
3/25/2020,37
3/26/2020,41
3/27/2020,46
3/30/2020,38
3/31/2020,41
4/1/2020,45
4/2/2020,44
4/3/2020,44
4/6/2020,41
4/7/2020,44
4/8/2020,33
4/9/2020,37
4/10/2020,28
4/13/2020,35
4/14/2020,43
4/15/2020,31
4/16/2020,39
4/17/2020,38
4/20/2020,39
4/21/2020,44
4/22/2020,49
4/23/2020,40
4/24/2020,41
4/27/2020,43
4/28/2020,50
4/29/2020,44
4/30/2020,41
5/1/2020,45
5/4/2020,45
5/5/2020,44
5/6/2020,46
5/7/2020,56
5/8/2020,50
5/11/2020,54
5/12/2020,54
5/13/2020,47
5/14/2020,47
5/15/2020,51
5/18/2020,43
5/19/2020,52
5/20/2020,66
5/21/2020,55
5/22/2020,54
5/25/2020,6
5/26/2020,67
5/27/2020,69
5/28/2020,52
5/29/2020,53
6/1/2020,53
6/2/2020,77
6/3/2020,65
6/4/2020,57
6/5/2020,72
6/8/2020,84
6/9/2020,99
6/10/2020,100
6/11/2020,100
6/12/2020,83
6/15/2020,105
6/16/2020,124
6/17/2020,110
6/18/2020,98
6/19/2020,112
6/22/2020,138
6/23/2020,163
6/24/2020,143
6/25/2020,139
6/26/2020,103
6/29/2020,169
6/30/2020,179
7/1/2020,154
7/2/2020,149
7/3/2020,
7/6/2020,184
7/7/2020,233
7/8/2020,238
7/9/2020,223
7/10/2020,160
7/13/2020,239
7/14/2020,240
7/15/2020,235
7/16/2020,201
7/17/2020,155
7/20/2020,206
7/21/2020,229
7/22/2020,224
7/23/2020,191
7/24/2020,134
7/27/2020,216
7/28/2020,262
7/29/2020,263
7/30/2020,226
7/31/2020,127
8/3/2020,226
8/4/2020,183
8/5/2020,241
8/6/2020,224
8/7/2020,170
8/10/2020,253
8/11/2020,238
8/12/2020,296
8/13/2020,205
8/14/2020,164
8/17/2020,272
8/18/2020,259
8/19/2020,255
8/20/2020,223
8/21/2020,152
8/24/2020,250
8/25/2020,244
8/26/2020,270
8/27/2020,206
8/28/2020,169
8/31/2020,234
9/1/2020,
